building_id,total_price
X5gsdTWGS3W7JJQB,11783531.597203577
BTshNOJyKHnT2YIT,3933231.5188655513
dhdymr0lV8N5kZOT,10969141.47949433
VEwyGGMcD56w5BOc,5831157.446244945
wmUeMoJZfsqaSX9b,1001290.1283790478
EtBjGAHmHCe9t7TZ,2845897.39378819
hPNH34vmaZtvBtqc,12345995.645864373
wXjeI38bYDMJJwZC,6409221.766594427
fxZSGX6aPAFKU8W4,1638328.9071378978
ewr0Fx6ign87OwaV,4300046.946074041
gHKurnEP4AowzsLg,892958.4503719142
PmLfTgY2FElLrTl0,5845213.433504185
eM2NppIOwzW0o8iy,10585237.62155477
dxxwNun97NH4WTrZ,3377570.484438535
jykBfhh3vdeFUi3H,4159828.894836425
NlXbvdFfmJZf3L18,23314465.122554027
D7jaFWHCzSqLBwdt,979596.0425339343
L10dBBdqGmemweSl,5934232.713424482
OgB0AdiPKlElakKN,1098533.4221889358
StiWNN1GQrpPBOYt,2605240.3469183063
a016eMAVQKnfwMnt,18566822.413904924
gsCFcQHnOH3AKMcZ,3512044.8141543022
IbNsDXfsPwSuFpow,5960983.487610406
EgAVWOVxD1Jy5YkE,1259724.9759347013
BrKghvR76XdbQPnx,7878395.159616363
a7fxkXTnUGWHUmKG,21275778.231869258
WgzXa170DfpzpURE,8652467.170453053
JPWqZbLq0VNC0yKI,9802300.739610773
JQgTtbVstqFZwEK1,450862.6971529444
bCSDbEthlS3nSIor,2250614.7937776726
Eg8c7ZRbL0gyAEAb,1927676.8531695327
zsFOujpX1WUIkeMD,2281644.7116787424
jEvQfHD89c14eFJj,9608239.61260654
bU45TrRjtoRJpiOl,6903014.203022336
YLKpsew5dW75vksT,6406285.457504942
hZ1FFAGWfwM7Q5qr,2241969.195530772
uAE5aaysJhyG8lRW,14327649.861945275
qxNpqoav46ab8aX0,14625117.192931052
tw5gw9arRECzmh5o,12199156.415704839
yn4pyBYVb1GcpQ1T,3789929.451149632
bE4xwsO642wMGDiH,553677368.9991244
aahqDoaTCZYPUnYs,2923095.3743130034
YV43AlJLyiYsBy7N,10543046.844883649
XUoZvwp3G5Uqr6es,5709338.665926651
xtfOOyS24DmebcrG,11694954.288585523
kHySzvJu1pAOGGr8,7499991.762291583
SJLj6Ars5P1fN8uS,18680798.265592918
R9A8BJ65VWVztrwJ,18819104.685894594
CVz3pN9nF05lPP5u,1745144.9139827692
vvgK6NlGq4dXvuOQ,3388331.980799595
C1h2FivTfEeJpv15,36406497.84830738
N2z4leXPR8YG1qOe,1835241.1885302963
sag3ekvoyZCZgkfV,5197736.122061147
Uk5ex47eeWALNICk,4672054.45309878
vAl9UtIB6CJkKDqG,9308858.582808508
hnYkYGw5QAKE4mKe,836041.9725275869
dGDaCQGvz1JFUpFs,4420881.4016926605
O5Hw3gWy8trecv9H,25716452.603049435
tMEj7u0YNW1xuLxf,847883.1363564202
rcPOpyDivowJQm5A,2588402.20022311
FB5zv79bd6nHV1It,2064022.5483631822
SjqLJfNVstz2Vt0Z,6475259.851983176
uv27X0eFKdbSphM7,14189010.727928167
